Question,Answer
Who highly valued the trenchmen?,Officers higher on the chain of command
What was the purpose of the parapet in a trench?,It had a fire step.
Why were some trenches reinforced with corrugated metal roofs?,As an improvised defence from shrapnel.
What was created due to a need for protection from snipers in trench warfare?,Loopholes
What was used by German snipers to penetrate loopholes?,Armour-piercing bullets
What region is the device most associated with?,Australian and New Zealand
Where was the device used by Australian and New Zealand troops?,Gallipoli
What was the typical depth of British dugouts?,2.5 to 5 meters (8 to 16 feet)
How deep were German dugouts typically?,A minimum of 4 meters (12 feet)
What was the typical pattern of trenches during World War I?,Zigzagging or stepped.
Why were traverses used to connect fire bays in a combat trench?,To prevent the entire trench from being enfiladed.
What was the typical occupation of the front trench?,Lightly garrisoned
"How far behind the front trench was the support (or ""travel"") trench located?",65-90 meters or 70-100 yards
How far was the third reserve trench located behind the front trenches?,Between 90 and 270 metres (100 and 300 yd)
Why were fires lit in the support line of the defensive layout?,To make it appear inhabited and attract enemy bombardment away from the front and reserve lines.
What was the purpose of assembly trenches?,To provide a sheltered place for attacking troops.
"What was a ""sap"" in trench warfare?","A temporary, unmanned utility trench dug out into no-man's land."
How many complete trench systems did the Germans have at their Somme front in 1916?,Two
"What was the purpose of a ""switch"" trench?",To connect the second trench system to the still-held section of the first.
What is the purpose of entangling the limbs of enemy soldiers with barbed or razor wire?,To force them to stop and methodically pull or work the wire off.
Why was the combination of wire and firepower deadly in trench warfare?,Because it caused most failed attacks and high casualties.
What were the two elements identified by Liddell Hart as having to be broken to regain a mobile battlefield?,Barbed wire and the machine gun.
What is the name of the type of barbed wire that was used partially stretched out?,Concertina wire.
How deep did wire stretch in some trench lines on a battlefield?,30 metres (100 ft) or more.
What method could soldiers use to defeat early barbed wire obstacles?,Prolonged artillery bombardment or jumping onto the top of the wire.
Why did British wire cutters fail to effectively cut German barbed wire during World War I?,"The British wire cutters were designed for thinner native product, but the German wire was heavier gauge."
What replaced conventional transport infrastructure in the forward zone during trench warfare?,A network of trenches and trench railways.
Why did some hills gain significance during trench warfare?,Because they provided a critical advantage to those who held the high ground.
What was at risk of being obliterated?,It (the artillery target)
What happened to the target after being attacked by artillery?,It became just a name on a map
What was a common problem for Allied forces on the battlefield of Flanders?,Heavy shelling destroyed the network of ditches and water channels.
Why did trenches in Flanders often flood?,Because the water table was only a metre or so below the surface.
What was initially built along both the parapet and parados of a trench?,In this way.
What was dispensed with for much of the trench line later on?,The parados.
How high above sea level did the trench warfare stretch into the mountains?,"3,900 m (12,800 ft)"
What was invented to help observe the enemy in trench warfare?,The camouflage tree
"What was the typical width of ""no man's land"" on the Western Front?",90-275 meters (100-300 yards)
"How wide was ""no man's land"" on Vimy Ridge?",25 meters (30 yards)
"How wide was the ""no man's land"" in some places after the German withdrawal?",Over a kilometre.
How far apart were the opposing trenches at Quinn's Post on the Anzac battlefield?,15 metres (16 yd).
What was the primary weapon for standard infantry soldiers at the start of the First World War?,The rifle and bayonet.
Why were hand grenades issued in limited numbers to British soldiers initially?,Because they were less effective.
Who was well equipped with grenades from the start of the war?,The Germans and Turks.
Which country entered the conflict with virtually no grenades?,The British.
When did the British Mills bomb enter wide circulation?,By late 1915.
How many Mills bombs were used by the end of the war?,75 million.
What was often used as an improvised melee weapon instead of the bayonet during World War I?,A sharpened spade
What made trench knives easier to use in trenches according to the historical text?,Their shorter length
What is typical of modern military digging tools?,They are designed to also function as a melee weapon.
What happened to improvised arms as the war progressed?,They were discarded.
What was the main task of trench sweepers?,To clear surviving enemy personnel from recently overrun trenches and make clandestine raids into enemy trenches to gather intelligence.
Which pistol was highly regarded by trench sweepers for their work?,FN M1900.
What was the name of the German device for throwing hand grenades?,Wurfmaschine
What devices eventually replaced catapult weapons in 1916?,Rifle grenades and mortars
When did the Germans first employ flamethrowers against the British?,30 July in Hooge.
How many documented battles were the Flammenwerfer used in by the end of World War I?,More than 300.
When did Germany lodge a formal protest against the use of pump action shotguns by American soldiers?,"September 14, 1918"
What type of shotgun was specially modified for combat and issued to U.S. military personnel during World War I?,Trench guns
What type of weapons did Anzac and some British soldiers use in trench raids?,Sawed-off shotguns
Were sawed-off shotguns officially sanctioned by military authorities?,No
How many machine guns were initially equipped to Jaeger battalions in 1904?,Sixteen
When did every American infantry unit carry at least one machine gun?,1917
What did the British High Command think of machine guns?,"They considered it ""unsporting"" and encouraged defensive fighting."
How many machine guns per battalion did Field Marshal Sir Douglas Haig think was sufficient?,Two.
Who pioneered area denial and indirect fire under guidance?,Major General Raymond Brutinel
What type of machine gun was contracted to firms in the United States for production?,Vickers
What was the typical number of men required to move a heavy machine gun?,Up to eight men.
Why were heavy machine guns impractical for offensive maneuvers during World War I?,Because they required teams of up to eight men to maintain and supply them.
How many enemies could a WWI machine gun nest theoretically mow down?,Hundreds
What was prone to happening when firing machine guns in WWI?,Overheating and jamming
When did the CSRG 1915 Chauchat start being employed?,1918
What was the primary use of the ground version of the Hotchkiss Canon de 37 mm?,To destroy German machine gun nests and concrete reinforced pillboxes
When was a new type of machine gun introduced?,1916
What was the ground version of the Bergmann LMG 15 machine gun called?,LMG 15 n. A
"When was the MP 18, the first practical submachine gun used in combat?",1918
Who fielded the MP 18 as the primary weapon of their stormtroopers?,The German Army
What was a common tactic used by artillery during trench warfare?,Preceding infantry advances with a creeping barrage.
What type of shells did armies mainly fire during World War I?,"Fragmentation, high-explosive, shrapnel, or gas shells."
What war led to the gain of knowledge about consumption?,Russo-Japanese War
How many times did artillery fire consume more than daily factory output during the war?,Ten
What type of shells were fired by guns?,High-velocity shells
How many tons could the German 420 mm howitzer fire over 10 km?,One ton
What was the initial process of gun registration used in battles?,"Gun registration would need to register its aim on a known target, in view of an observer."
When did artillery techniques develop to enable fire delivery without registration on the battlefield?,Towards the end of 1917.
How many mortar shells were fired by the British in 1914?,545
How many howitzer shells were fired by the British in 1916?,"Over 4,500,000"
What was the main British mortar called?,The Stokes
"What did the German ""Ladungswerfer"" throw?",Aerial torpedoes containing a 200 lb charge
What was the characteristic of the missile's flight mentioned in the historical text?,It was slow and leisurely.
"What action could people take when they saw the missile coming, according to the text?",They could make some attempt to seek shelter.
What was a key advantage of mortars over artillery during World War I?,Being much more portable.
What was the ultimate goal of the strategy of trench warfare in World War I?,To progressively grind down the opposition's resources until they are no longer able to wage war.
Who was the Commander in Chief of the British forces during most of World War I?,General Douglas Haig
What was the main purpose of the German strategy in the Battle of Verdun?,"To ""bleed the French Army white"""
What was the common method of attacking early in World War I?,"An attack where a wave of soldiers, bayonets fixed, would march in a line across no man's land into a hail of enemy fire."
Which country innovated infiltration tactics in 1915 during World War I?,Germany.
What was the aim of a bombardment prior to an infantry assault?,"To prepare the ground for an infantry assault, killing or demoralising the enemy garrison and destroying their defences."
How long did the British bombardment at the Battle of the Somme last?,Eight days.
"What was the main purpose of providing an ""impenetrable 'barrage' or curtain of shells""?",To protect the attacking infantry by preventing an enemy counter-attack.
"What usually happened when a ""lifting barrage"" tried to outpace the attackers?",The attackers were left without protection.
"What was the primary goal of a ""creeping barrage"" during World War I?",Suppression of the enemy.
"When did the ""creeping barrage"" become the standard method of attack in World War I?",Late 1916 onward.
What was required for a successful advance during World War I?,"The weapons required to capture a trench, as well as tools such as sandbags, picks and shovels, and barbed wire."
Why did the Germans' counter-attack strategy cost them dearly in 1917?,Because they anticipated their counter-attacks would be met by British forces from a position of strength.
What position did some British artillery take before the initial bombardment?,Behind the original start line.
Why was part of the British artillery positioned behind the original start line?,To be ready to support later phases of the operation.
"Who were the first to apply the concept of ""defence in depth""?",The Germans.
What was the result of the British attempt to adopt a similar approach to the German defence in 1918?,It proved disastrously ineffective.
How long did the 31st Australian Battalion typically spend in a frontline trench?,As little as one day to as much as two weeks.
How long did the Portuguese Expeditionary Corps units spend in the frontline trenches on average?,"There is no specific answer provided in the text, but it can be inferred that their duration was longer than others due to lack of reinforcements."
Were most of the men denied leave?,Yes
How long did some units spend in the front line without leave?,Six consecutive months
How often would a typical British soldier's unit be called upon to engage in fighting?,Only a handful of times a year.
"What were some examples of ""elite"" fighting divisions on the Allied side?","The British regular divisions, the Canadian Corps, the French XX Corps, and the Anzacs."
When did the I Anzac Corps first arrive in France?,In April 1916.
Where was Ypres invariably hellish on the Western Front?,"It was exposed and overlooked, especially for the British."
How many casualties did the British suffer in the first six months of 1916?,"107,776"
Did the British engage in any significant battles on their sector of the Western Front during the first six months of 1916?,No
How many divisions typically made up an army corps?,Three
What was the role of the third division within each front-line brigade?,In reserve
When were the trenches busiest?,At night
What activity did soldiers engage in during daytime hours to amuse themselves?,Reading trench magazines
Who pioneered trench raids in February 1915?,The Princess Patricia's Canadian Light Infantry
What was one of the primary intentions behind trench raids?,To deny no man's land to the Germans
What was a major challenge faced by the enemy during the war?,The enemy replied with their own artillery.
By what year did raids become carefully planned exercises in combined arms?,1916
What was the purpose of the intense artillery bombardment at the start of a raid?,To drive off or kill the front-trench garrison and cut the barbed wire.
Approximately what percentage of soldiers who fought in World War I died as a result?,10-15 percent.
What was a common cause of death for soldiers in the trenches?,Shelling and gunfire.
Why were infections often left untreated in the trenches during World War I?,Because antibiotics had not yet been discovered or invented.
What percentage of known casualties in the trenches were caused by artillery fire?,75 percent
What percentage of French military casualties were caused by gunfire (bullets from rifles and machine-guns)?,34 percent
Who were the first to introduce steel helmets in 1915?,The French.
What was the name of the helmet eventually approved by the British?,Brodie.
What type of helmet did the Americans choose to use when they entered the war?,The American helmet.
Which other type of helmet was used by some American units during this time period?,French Adrian helmet.
What was the predominant disease in the trenches of the Western Front?,Trench fever.
"How many Allied soldiers were infected by trench fever throughout World War I, according to Sir David Bruce's report in 1921?",Over one million.
In what percentage of wounded British soldiers did gas gangrene develop in 1914?,12%
What was the incidence of gas gangrene among wounded soldiers by 1918?,1%
What was a common problem amongst soldiers in trenches?,Intestinal parasites.
Why did parasites spread amongst soldiers?,Due to the unhygienic environment and lack of true sewage management procedures.
What was one of the symptoms of trench foot?,Numbness and pain in the feet.
How many American soldiers were affected by trench foot according to the text?,"2,000."
Was there an outbreak of typhus in the trenches of the Western Front?,No
How many recorded deaths were there due to a typhus epidemic in Russia during the conflict?,Approximately 2.5 million
What percentage of people who contract typhus die?,10-60%
How is typhus typically spread?,By body lice.
What was the common method used by soldiers to try to control the rat population in the trenches?,Rifle bayonets.
Why did many soldiers fear rats more than other horrors found in the trenches?,Rats fed on half-eaten or uneaten rations as well as corpses.
What condition did soldiers who suffered intense breakdowns due to unrelenting shellfire come to be known as?,"Shell shock, war neurosis or battle hypnosis."
Why was it difficult for soldiers with shell shock to escape the trench if shellfire was coming?,Because there was no way to escape a trench.
How many British soldiers were officially executed by their own side during the war?,306
What was often done to shell shocked soldiers by their commanders during the war?,They were executed by a firing squad composed of their fellow soldiers.
What were the Germans focused on during World War I?,New tactics
Which nations focused on tanks during World War I?,The British and French
What was the focus of Prussian military doctrine as early as the 18th century?,Manoeuvre and force concentration.
In what year did Prussian captain Willy Rohr experiment with new tactics in the Vosges mountains?,1915.
Who developed similar tactics independently in 1915?,French Army captain André Laffargue
What was the intention behind the German stormtrooper methods?,To achieve surprise by disrupting entrenched enemy positions
What was the name given to German infiltration tactics by others?,Hutier tactics
What was the outcome of the Allied Hundred Days Offensive?,The exhausted German forces were pushed back.
Were the Germans able to organize another major offensive before the war's end?,No.
What was one way mines were used during World War I?,To destroy or disrupt enemy's trench lines.
What kind of warfare did mining and counter-mining become a part of?,Trench warfare.
What type of terrain was especially suited for mining in World War I?,The dry chalk of the Somme.
What were mines packed with before being detonated?,Explosives.
What was the purpose of counter-mining in mining operations during World War I?,To drive a tunnel under the enemy's tunnel and detonate explosives to create a camouflet to destroy the enemy's tunnel.
"How many mines were detonated by the British on July 1, 1916, the first day of the Battle of the Somme?",19
What was the purpose of blowing mines near La Boiselle?,To throw earth into the air.
How many tons of explosives were contained in each of the largest mines blown near La Boiselle?,24 tons.
When was the Battle of Messines launched?,"June 7, 1917"
How many tons of explosive did the largest mine contain?,42 tons
What were the early methods of employing poison gases during World War I?,Releasing gas from a cylinder when the wind was favourable.
How did the method of delivering poison gases change mid-war?,Gas was delivered directly to enemy trenches by artillery or mortar shell.
What was used by soldiers to make improvised gas masks?,Urine
What happened to the effectiveness of gas attacks by the end of the war?,They had become less devastating
When was tear gas first employed during World War I?,August 1914
Which gas agent was the most lethal killing gas of World War I?,Phosgene
What was the most effective gas introduced by Germany during World War I?,Mustard gas
How many percent of mustard gas casualties died?,2%
Who developed tanks?,The British and French.
In which year were British tanks first deployed in combat?,1916.
In what year did the First Battle of Cambrai take place?,1917
What was one effective tactic used by German forces during the First Battle of Cambrai?,Direct fire from field artillery
What happened to Allied forces during the last 100 days of World War I?,They harried the Germans back using infantry supported by tanks and close air support.
When did tanks become a significant element of warfare?,By the war's end.
Who developed the blitzkrieg tank tactics during World War II?,Germany
Which side emphasized static defense using trenches during the Spanish Civil War?,The Nationalists
What was the purpose of the Maginot Line?,To provide a state-of-the-art defensive system against potential invaders.
How wide was the Maginot Line?,20-25 kilometres (12-16 miles).
What was the purpose of the Maginot Line according to French military experts?,To curb German aggression and allow for mobilization and counterattack.
"According to French military planning, what would force the Germans to invade Belgium, allowing the French military to move its best formations to counter?",The Germans bypassing the Maginot Line.
Where did the main German attack occur?,Through the Ardennes forest.
What happened to the bulk of the Maginot Line during the battle?,Its garrisons were withdrawn and it was flanked.
What was the impact of mobile warfare on trench warfare during World War II?,The return of mobile warfare reduced the emphasis on trench warfare.
What types of defensive fighting positions were commonly used in place of full trench systems?,"""Scrapes"" or ""foxholes"", which could be supplemented by sand bags, local materials, debris, or rubble."
What was the Mannerheim Line used for during the Winter War?,A system of flexible field fortification for the defending Finns.
How long did the Mannerheim Line repel the Soviet invaders during the Winter War?,Two months.
Who successfully held trench systems at the Battle of Sevastopol?,The Red Army forces.
What type of operations allowed the Western Allies to break through the Atlantic Wall in 1944?,"Amphibious landings, naval gunfire, air attack, and airborne landings."
What type of warfare was reminiscent of World War I?,Trench warfare
Who constructed a system of defence before the Battle of Kursk?,The Soviets
What was the duration of the Italian Campaign?,1943 until the end of the war in Europe.
Who did the Allies fight against during the Italian Campaign?,Germans.
Where did the Soviets attack Germany at the start of the Battle of Berlin?,Over the river Oder against German troops on Seelow Heights.
Who were massively outnumbered during the initial Soviet assault?,The Germans.
What was the purpose of the labyrinth of underground fixed positions used by the Japanese during the Pacific War?,To slow down Allied advances on many Pacific Islands.
How were some of the cave entrances built to defend against attacks?,Slanted.
What was located east of Airfield Number 2 in Iwo Jima?,The Nanpo Bunker (Southern Area Islands Naval Air HQ)
How long could the Japanese hold out at the Nanpo Bunker based on its supplies?,Three months
What did the Americans use to oust the defenders?,Flamethrowers and systematic hand-to-hand fighting.
Who had complete air supremacy during the battle?,U.S. Navy and Marine Corps aviators.
When did trench warfare re-emerge?,In the Korean War (from July 1951 to its end).
What were NATO forces trained to fight through during the Cold War?,Soviet-style trench systems.
Which armies lacked training in combined arms operations during the Iran-Iraq War?,Both armies.
What type of weapon did Iraq extensively use against Iranian troops during the war?,"Chemical weapons, such as mustard gas."
What was Saddam Hussein's objective during the 1991 Gulf War?,Forcing the coalition to engage in costly World War I-era trench warfare.
How did US forces respond to the Iraqi trenches?,By charging the lines with M1 Abrams tanks modified with minesweeping ploughs and M728 Combat Engineer Vehicles.
How long did it take for US and coalition forces to break through and bypass the Saddam line after the initial assault?,Less than three hours.
What type of warfare was focused on by US and coalition forces in the later stages of the war?,Manoeuvre warfare.
What was the main use of the trench system during the Siege of Sarajevo?,Transportation to the front-line or to avoid snipers inside the city.
Which pre-existing structure was used as a trench by both Serb and Bosniak forces during the siege?,The bobsleigh course at Trebević.
Was the Eritrean-Ethiopian War compared to World War I?,Yes
What was used by Ethiopian forces as pack animals during their surprise attack in the war?,Donkeys
What is an example of a demarcation line that could become hot at any time?,The front line in Korea.
How many fixed tank turrets has the Indian Army fortified the LOC with?,900.
What kind of warfare has been observed in the Russo-Ukrainian War?,Trench fights akin to World War I.
Why did both sides dig elaborate networks of trenches and deep bunkers after the Minsk peace agreements?,For protection.
What type of war was the Battle of Bakhmut characterized by?,A static war of attrition.
When did both sides construct trench lines and defensive structures during the 2022 invasion?,After the end of the initial Russian offensive.
What was the number of British Army casualties on the first day of the Battle of the Somme?,"Nearly 60,000"
How many documented combat deaths did the French Army suffer during the Battle of Verdun?,"Over 380,000"
What is trench warfare associated with?,Mass slaughter in appalling conditions.
What did many critics argue was the reason for the deaths of brave men during trench warfare?,Incompetent and narrow-minded commanders.
Who is often criticized for allowing his battles to continue long after they had lost any purpose other than attrition?,Sir Douglas Haig
What was one of the failures that generals were often portrayed as persisting in during World War I?,Passchendaele
What year saw a return to mobile warfare during World War I?,1918
When was the Appeasement policy most often applied?,Between 1935 and 1939
Which British Prime Ministers implemented Appeasement towards Nazi Germany and Fascist Italy?,"Ramsay MacDonald, Stanley Baldwin, and Neville Chamberlain"
When did World War I take place?,1914-1918
What year was the Munich Agreement concluded?,1938
What group supported appeasement strongly?,The British upper class.
Which media outlet supported appeasement strongly?,The Times.
What was Chamberlain's announcement after Munich?,"""peace for our time"""
"When did academics, politicians, and diplomats intensely debate appeasement policies?",The 1930s
When did the policy of appeasement come to an end?,"March 15, 1939"
Who had championed appeasement before its end?,Prime Minister Chamberlain
When was the League of Nations set up?,In the aftermath of World War I.
What was the policy parallel to collective security in the historical text?,Measures to achieve international disarmament.
When did the Empire of Japan invade Manchuria?,September 1931
What was the outcome for Japan after the League of Nations set up a commission of inquiry?,The report condemned Japan.
Did the United States take action against Japan after it resigned from the League?,No
What did the U.S. issue in response to Japan's conquest of China?,The Stimson Doctrine
What was the purpose of the 1934 Anglo-German Payments Agreement?,To guarantee German interest repayments on bonds arising from World War I reparations.
What did Britain permit Germany to do according to the 1935 Naval Agreement?,"Rebuild the German Navy, including its U-boats."
Where was there a clash between Royal Italian Army and Imperial Ethiopian Army troops in December 1934?,"Walwal, near the border between British and Italian Somaliland."
Which international organization did Abyssinia appeal to after Italy demanded apologies and compensation from it?,The League.
When did Mussolini launch an attack on Abyssinia?,October 1935
Which countries refused to apply sanctions against Italy after its attack on Abyssinia?,"Albania, Austria, and Hungary"
"When did Italy capture Addis Ababa, the Abyssinian capital?",May 1936
When did the League abandon sanctions?,In July.
Why was the abandonment of sanctions considered a serious discredit to the League?,Because the sanctions were incomplete and appeared to be easily given up.
When did Hitler send the Wehrmacht into the Rhineland?,7 March 1936
Why did France take no action after Germany sent its troops into the Rhineland?,Britain lacked the forces to back its guarantees to France and public opinion would not allow it.
What was Hugh Dalton's stance on military or economic sanctions against Germany?,He opposed them.
Which country proposed sanctions against Germany at the Council of the League?,The Soviet Union.
Who was replaced as Prime Minister of Britain in 1937?,Stanley Baldwin
What was Neville Chamberlain's policy towards appeasement and Hitler over Czechoslovakia in 1938?,Negotiations
What was the temporary adopted name for Austria in 1918?,"Deutschösterreich (""German-Austria"")"
"When did Austria's name revert back to ""Austria"" after the emergence of the First Republic of Austria?",September 1919
Who wrote that they would attempt a union of Austria with Germany by any means possible and by force if necessary?,Hitler
In what year did Hitler write about attempting a union of Austria with Germany in his book Mein Kampf?,1924
Who did Austrian Chancellor Kurt Schuschnigg turn to instead of Italy?,"Czechoslovakia, Yugoslavia, and Romania (the Little Entente)"
What was demanded by Hitler for Schuschnigg to do in February 1938?,Release imprisoned Austrian Nazis and allow them to participate in the government
Who sent an ultimatum to Schuschnigg on 11 March?,Hitler
When did the German Wehrmacht cross the Austrian border?,On 12 March
On what date did the German Wehrmacht cross the Austrian border?,12 March
What percentage of Austrian voters officially supported the Anschluss in a plebiscite held on 10 April?,99.73%
What was the reaction of the Allies to the Anschluss?,Mild.
Did other countries back up the voices against annexation with force?,No.
What event occurred before the Munich agreement?,The Anschluss
What was the implication of the Anschluss for Britain and France's response to future German aggression?,A likely non-response
What was the reason for digging trenches and wearing gas masks?,A quarrel in a far-away country.
Who were the people involved in the quarrel that caused concern?,People of whom we know nothing.
What was created under the Versailles Settlement?,Czechoslovakia
Which ethnic group had a majority population in the Sudetenland area?,Germans
Who was sent by Chamberlain to mediate in Prague?,Lord Runciman
How many troops did Hitler order to the Czechoslovak border?,"750,000"
Who did Chamberlain negotiate directly with on 15 September?,Hitler
What was the outcome of Chamberlain's negotiations with Hitler?,Britain and France agreed to let Germany absorb the Sudeten lands.
Who did Hitler order the establishment of a paramilitary organization for?,Sudeten Germans
What kind of attacks did the Sudeten German paramilitary organization carry out?,Terrorist attacks
When did Chamberlain fly to Bad Godesberg for his second meeting with Hitler?,22 September
"What was the deadline set by Germany for the cession of the Sudetenland, as stated in the Godesberg Memorandum?",28 September
When did Hitler make a speech at the Sportpalast in Berlin?,On 26 September.
What was the ultimatum given by Hitler to Czechoslovakia?,To cede the Sudetenland to Germany or face war.
"When did Hitler, Chamberlain, Daladier, and Mussolini meet in Munich?","September 29, 1938"
What was the agreement reached at the four-power conference in Munich?,Germany would complete its occupation of the Sudetenland
Who was the U.S. President who sent a telegram to Chamberlain before Munich?,Franklin D. Roosevelt
"How did President Roosevelt feel about the outcome of Munich, according to the historical text?",He wasn't upset.
What was the result of the annexation of the Sudetenland on Czechoslovakia?,"Czechoslovakia lost 800,000 citizens, much of its industry and its mountain defences in the west."
"Who proclaimed Bohemia and Moravia to be the Protectorate of Bohemia and Moravia on March 15, 1939?",Hitler
"Who foresaw a possible disarmament conference between himself, Daladier, Hitler, Mussolini, and Stalin?",Chamberlain
Which leader was said to be blessing the efforts of these five men?,The President of the United States of America
What was the outcome of the Munich negotiations?,The British and French pressured Czechoslovakia to cede part of its territory to a hostile neighbor.
Who relayed a message to Lord Halifax about a potential coup against Hitler in August 1938?,General Ludwig Beck.
Who received assurance that the General Staff's offer to launch a coup still stood in September?,The British
What did Chamberlain believe Britain and Nazi Germany were?,The two pillars of European peace and buttresses against communism
Who conceded that a war between Germany and Czechoslovakia would have cost Germany much blood?,Hitler
"What event became known as the ""Munich betrayal"" in Eastern Europe?",The event where Britain and France did not defend Czechoslovakia
When did Foreign Minister Juozas Urbšys meet German Foreign Minister Joachim von Ribbentrop?,On 20 March.
"What did Germany demand from Lithuania, according to the verbal ultimatum delivered by Urbšys?",The return of Klaipėda.
What form did the ultimatum given to Lithuania take?,Verbal
Did the ultimatum include a formal deadline?,No
Who supported Germany in the matter of Lithuania's demands?,Italy and Japan
Which countries expressed sympathy for Lithuania but chose not to offer any material assistance?,The United Kingdom and France
What did Lithuania have to accept without any material international support?,An ultimatum.
"Why did Lithuanian diplomacy characterize accepting the concession as a ""necessary evil""?",To preserve its independence.
Who did Hitler express his contempt for in a speech to his Commanders in Chief?,The democratic nations.
What city did Hitler mention as the place where he had seen the leaders of these democratic nations?,Munich.
When did Winston Churchill become Prime Minister?,On 10 May 1940
Who offered peace to Britain in July 1940?,Hitler
When did Neville Chamberlain die?,On 9 November
Who delivered a tribute to Neville Chamberlain after his death?,Winston Churchill
What was the outcome of the policy of appeasement in terms of preventing war?,It failed to prevent war.
"When did the ""almost catastrophic consequences"" for the nation occur due to ignoring anti-appeasers' wise counsels?",In 1939–40.
What was the attitude of appeasers?,Not willing to seek peace at any price.
What was the stance of anti-appeasers?,Prepared for Britain to make a stand against aggression.
What did many believe after the First World War about the causes of wars?,"They believed that wars were started by mistake, caused by large-scale armaments, or caused by national grievances."
"When was ""Appeasement"" a respectable term to signify the pursuit of peace?",Between 1919 and 1937.
"Who believed ""better Hitlerism than Communism""?",The British upper class
What was a common slogan among right-wingers in France during this period?,"""Better Hitler than Blum"""
Who was a close ally of Chamberlain?,Lord Halifax
In which year did Lord Halifax visit Göring and meet Hitler in Germany?,1936
Who led a delegation of Conservative politicians to express alarm about German rearmament in 1936?,Churchill
"What did Baldwin say he would not get Britain to do ""for the League of Nations or anybody else""?",Go to war
When did Churchill begin to attack Hitler?,From the start of the decade.
Why was Churchill slow to criticize fascism overall?,"Because of his opposition to communists, ""international Jews"" and socialism generally."
What did Churchill warn about a week before Munich?,The partition of Czechoslovakia under pressure from the UK and France.
How were Churchill and a few other Conservatives who refused to vote for the Munich settlement attacked?,By their local constituency parties.
When did the person begin consistently to withhold his support from the National Government's conduct of foreign policy?,May 1938
Who convinced the person that a satisfactory settlement could be reached in 1938?,Henlein
What was the Royal Navy's general approach towards international conflicts in the 1930s?,Appeasement
Why did the Royal Navy favour appeasement regarding Munich in 1938?,Because Britain lacked the political and military resources to intervene and maintain an imperial defence capability simultaneously.
What was the consensus among British people about defending against terror bombing in the 1930s?,Defence was impossible.
What were the two major weapons systems that the Royal Air Force had in development to counter German bombing offensive?,Better interceptors (Hurricanes and Spitfires) and radar.
